Start_Station_Name,Start_Station_Latitude,Start_Station_Longitude
Marin Light Rail,40.71458404,-74.04281706
Exchange Place,40.7162469,-74.0334588
McGinley Square,40.72533993,-74.06762213
Grove St PATH,40.71958612,-74.04311746
Jersey & 6th St,40.72528911,-74.04557168
Liberty Light Rail,40.7112423,-74.0557013
Christ Hospital,40.73478582,-74.05044364
Van Vorst Park,40.71848892,-74.04772663
Newport PATH,40.7272235,-74.0337589
Warren St,40.7211236,-74.03805095
Hamilton Park,40.72759597,-74.04424731
Columbus Drive,40.7183552,-74.03891444
Sip Ave,40.73074263,-74.06378388
Leonard Gordon Park,40.74590997,-74.05727148
Riverview Park,40.7443187,-74.0439909
Newark Ave,40.72152515,-74.04630454
Morris Canal,40.71241882,-74.03852552
Pershing Field,40.74267714,-74.05178863
Jersey & 3rd,40.72333159,-74.04595256
Dixon Mills,40.72163014,-74.04996783
Baldwin at Montgomery,40.7236589,-74.0641943
Brunswick & 6th,40.72601173,-74.05038893
Monmouth and 6th,40.72568548,-74.04879034
Lincoln Park,40.7246051,-74.07840595
Garfield Ave Station,40.71046702,-74.0700388
Essex Light Rail,40.7127742,-74.0364857
Hilltop,40.7311689,-74.0575736
Manila & 1st,40.72165072,-74.04288411
Astor Place,40.7192822,-74.07126188
Brunswick St,40.7241765,-74.0506564
Newport Pkwy,40.7287448,-74.0321082
Paulus Hook,40.7141454,-74.0335519
City Hall,40.7177325,-74.043845
Oakland Ave,40.7376037,-74.0524783
JC Medical Center,40.71653978,-74.04963791
Union St,40.7182113,-74.0836394
5 Corners Library,40.73496102,-74.05950308
Dey St,40.737711,-74.066921
West Side Light Rail,40.714402,-74.0887723
Danforth Light Rail,40.69263997,-74.08801228
North St,40.752559,-74.044725
Communipaw & Berry Lane,40.71435837,-74.06661093
Heights Elevator,40.74871595,-74.0404433
Central Ave,40.7467299,-74.0492509
Lafayette Park,40.71346383,-74.06285852
Columbia Park,40.6970299,-74.0969366
NJCU,40.7101087,-74.0858489
MLK Light Rail,40.7111305,-74.0788855
Bethune Center,40.70495752,-74.08593088
Bayside Park,40.69865054,-74.08207968
JCBS Depot,40.70965083,-74.06860113
York St,40.71649,-74.04105
Harborside,40.7192517,-74.034234
Washington St,40.7242941,-74.0354826
Journal Square,40.73367,-74.0625
